Sample,Individual,Tooth,Specimen,Bulk_Intra,DistERJ,Site,Species,Cultural_Period,Cultural_Phase,Urban_Period,d18O,d13C
ALM_033_a,ALM_033,M2,ALM_033_M2,Intra,24,ALM,Bos indicus,MHar,MHar iii,Urban,-0.7,2.1
ALM_033_b,ALM_033,M2,ALM_033_M2,Intra,21,ALM,Bos indicus,MHar,MHar iii,Urban,-1.4,1.9
ALM_033_c,ALM_033,M2,ALM_033_M2,Intra,18,ALM,Bos indicus,MHar,MHar iii,Urban,-1.2,1.9
ALM_033_d,ALM_033,M2,ALM_033_M2,Intra,15,ALM,Bos indicus,MHar,MHar iii,Urban,-0.7,2
ALM_033_e,ALM_033,M2,ALM_033_M2,Intra,12,ALM,Bos indicus,MHar,MHar iii,Urban,-1,2.2
ALM_033_g,ALM_033,M2,ALM_033_M2,Intra,9,ALM,Bos indicus,MHar,MHar iii,Urban,-2.1,2.9
ALM_034_a,ALM_034,M2,ALM_034_M2,Intra,25,ALM,Bos indicus,MHar,MHar iii,Urban,0.2,-0.6
ALM_034_c,ALM_034,M2,ALM_034_M2,Intra,20,ALM,Bos indicus,MHar,MHar iii,Urban,-1,0.4
ALM_034_e,ALM_034,M2,ALM_034_M2,Intra,15,ALM,Bos indicus,MHar,MHar iii,Urban,-1.8,1.2
ALM_034_f,ALM_034,M2,ALM_034_M2,Intra,10,ALM,Bos indicus,MHar,MHar iii,Urban,-0.9,2.6
ALM_034_g,ALM_034,M2,ALM_034_M2,Intra,7,ALM,Bos indicus,MHar,MHar iii,Urban,-2,1.7
ALM_035_a,ALM_035,M2,ALM_035_M2,Intra,18,ALM,Boselaphus tragocamelus,MHar,MHar iii,Urban,0.2,0.6
ALM_035_b,ALM_035,M2,ALM_035_M2,Intra,15,ALM,Boselaphus tragocamelus,MHar,MHar iii,Urban,0.7,1.1
ALM_035_c,ALM_035,M2,ALM_035_M2,Intra,13,ALM,Boselaphus tragocamelus,MHar,MHar iii,Urban,1.1,1.6
ALM_035_e,ALM_035,M2,ALM_035_M2,Intra,7,ALM,Boselaphus tragocamelus,MHar,MHar iii,Urban,1.3,2.4
ALM_035_f,ALM_035,M2,ALM_035_M2,Intra,5,ALM,Boselaphus tragocamelus,MHar,MHar iii,Urban,0.2,2.9
ALM_036_a,ALM_036,M3,ALM_036_M3,Intra,26,ALM,Bos indicus,MHar,MHar iii,Urban,-1.9,3.4
ALM_036_b,ALM_036,M3,ALM_036_M3,Intra,23,ALM,Bos indicus,MHar,MHar iii,Urban,-2.4,3.6
ALM_036_c,ALM_036,M3,ALM_036_M3,Intra,20,ALM,Bos indicus,MHar,MHar iii,Urban,-2.9,3.7
ALM_036_d,ALM_036,M3,ALM_036_M3,Intra,17,ALM,Bos indicus,MHar,MHar iii,Urban,-3.4,3.8
ALM_036_e,ALM_036,M3,ALM_036_M3,Intra,14,ALM,Bos indicus,MHar,MHar iii,Urban,-3.7,3.8
ALM_036_f,ALM_036,M3,ALM_036_M3,Intra,11,ALM,Bos indicus,MHar,MHar iii,Urban,-3.5,3.4
ALM_036_g,ALM_036,M3,ALM_036_M3,Intra,8,ALM,Bos indicus,MHar,MHar iii,Urban,-3.1,3
ALM_036_h,ALM_036,M3,ALM_036_M3,Intra,4,ALM,Bos indicus,MHar,MHar iii,Urban,-1,2.8
ALM_088_c,ALM_088,m3,ALM_088_m3,Intra,26.5,ALM,Antilope cervicapra,MHar,MHar iii,Urban,-2.3,1.7
ALM_088_e,ALM_088,m3,ALM_088_m3,Intra,7.5,ALM,Antilope cervicapra,MHar,MHar iii,Urban,-1,-2.6
ALM_128_a,ALM_128,M3,ALM_128_M3,Intra,19,ALM,Bos gaurus,MHar,MHar iii,Urban,-2.9,1.3
ALM_128_b,ALM_128,M3,ALM_128_M3,Intra,16,ALM,Bos gaurus,MHar,MHar iii,Urban,-2.6,0.7
ALM_128_c,ALM_128,M3,ALM_128_M3,Intra,12,ALM,Bos gaurus,MHar,MHar iii,Urban,-1.6,0
ALM_128_d,ALM_128,M3,ALM_128_M3,Intra,10,ALM,Bos gaurus,MHar,MHar iii,Urban,0.7,-0.9
ALM_128_e,ALM_128,M3,ALM_128_M3,Intra,7,ALM,Bos gaurus,MHar,MHar iii,Urban,0.3,-1.4
ALM_135_a,ALM_135,m3,ALM_135_m3,Intra,25,ALM,Ovis aries,MHar,MHar iii,Urban,-1.7,-2.1
ALM_135_b,ALM_135,m3,ALM_135_m3,Intra,22,ALM,Ovis aries,MHar,MHar iii,Urban,-1.7,-1.8
ALM_135_c,ALM_135,m3,ALM_135_m3,Intra,18,ALM,Ovis aries,MHar,MHar iii,Urban,-0.2,-1
ALM_135_d,ALM_135,m3,ALM_135_m3,Intra,15,ALM,Ovis aries,MHar,MHar iii,Urban,1.2,-0.2
ALM_135_e,ALM_135,m3,ALM_135_m3,Intra,13,ALM,Ovis aries,MHar,MHar iii,Urban,0.2,0.1
ALM_135_f,ALM_135,m3,ALM_135_m3,Intra,10,ALM,Ovis aries,MHar,MHar iii,Urban,-0.6,0.6
ALM_135_g,ALM_135,m3,ALM_135_m3,Intra,6,ALM,Ovis aries,MHar,MHar iii,Urban,-2.8,1.2
ALM_152_a,ALM_152,M2,ALM_152_M2,Intra,35,ALM,Bos indicus,MHar,MHar iii,Urban,1.3,0.8
ALM_152_b,ALM_152,M2,ALM_152_M2,Intra,32,ALM,Bos indicus,MHar,MHar iii,Urban,1.3,0.8
ALM_152_c,ALM_152,M2,ALM_152_M2,Intra,28,ALM,Bos indicus,MHar,MHar iii,Urban,0.9,1.3
ALM_152_d,ALM_152,M2,ALM_152_M2,Intra,25,ALM,Bos indicus,MHar,MHar iii,Urban,-0.8,1.9
ALM_152_e,ALM_152,M2,ALM_152_M2,Intra,21,ALM,Bos indicus,MHar,MHar iii,Urban,-1.6,2.1
ALM_152_f,ALM_152,M2,ALM_152_M2,Intra,17,ALM,Bos indicus,MHar,MHar iii,Urban,-2.5,2.3
ALM_152_g,ALM_152,M2,ALM_152_M2,Intra,14,ALM,Bos indicus,MHar,MHar iii,Urban,-1.8,2.2
ALM_152_h,ALM_152,M2,ALM_152_M2,Intra,10,ALM,Bos indicus,MHar,MHar iii,Urban,-2.5,1.8
ALM_152_i,ALM_152,M2,ALM_152_M2,Intra,6,ALM,Bos indicus,MHar,MHar iii,Urban,-1.8,1.2
ALM_152_j,ALM_152,M2,ALM_152_M2,Intra,3,ALM,Bos indicus,MHar,MHar iii,Urban,-1.8,0.7
ALM_153_a,ALM_153,M3,ALM_153_M3,Intra,40,ALM,Bos indicus,MHar,MHar iii,Urban,-0.1,-0.6
ALM_153_b,ALM_153,M3,ALM_153_M3,Intra,37,ALM,Bos indicus,MHar,MHar iii,Urban,0.7,-0.6
ALM_153_c,ALM_153,M3,ALM_153_M3,Intra,34,ALM,Bos indicus,MHar,MHar iii,Urban,0.6,-0.1
ALM_153_d,ALM_153,M3,ALM_153_M3,Intra,31,ALM,Bos indicus,MHar,MHar iii,Urban,-0.6,0.3
ALM_153_e,ALM_153,M3,ALM_153_M3,Intra,27,ALM,Bos indicus,MHar,MHar iii,Urban,-0.4,0.7
ALM_153_g,ALM_153,M3,ALM_153_M3,Intra,20,ALM,Bos indicus,MHar,MHar iii,Urban,-1.7,1.5
ALM_153_h,ALM_153,M3,ALM_153_M3,Intra,16,ALM,Bos indicus,MHar,MHar iii,Urban,-2.3,1
ALM_153_i,ALM_153,M3,ALM_153_M3,Intra,11,ALM,Bos indicus,MHar,MHar iii,Urban,-1.6,0.1
ALM_153_j,ALM_153,M3,ALM_153_M3,Intra,7,ALM,Bos indicus,MHar,MHar iii,Urban,-0.4,-0.4
ALM_183_a,ALM_183,M3,ALM_183_M3,Intra,33,ALM,Bos indicus,PGW,PGW,Post-Indus,-1.2,3.9
